,id,sent_id,tokens
0,ESUN032-PART001,0,นางสาว อรวรรยา <sp> แท่นวิทยานนท์
1,ESUN032-PART002,0,ความ มุ่งหวัง นับ ได้ ว่า เป็น ส่วน ที่ สำคัญ ของ ชีวิต คนเรา
2,ESUN032-PART002,1,เพราะ ความ มุ่งหวัง ใน ชีวิต
3,ESUN032-PART002,2,คือ
4,ESUN032-PART002,3,สิ่ง ที่ เรา วางแผน ไว้ ว่า
5,ESUN032-PART002,4,เรา ต้องการ จะ เป็น <sp> จะ มี <sp> และ <sp> จะ ทำ
6,ESUN032-PART002,5,คนเรา ทุก คน ก็ ล้วน ต้องการ ให้ ความ มุ่งหวัง ของ ตนเอง ประสบ ความสำเร็จ ด้วยกัน ทั้งนั้น
7,ESUN032-PART002,6,ไม่ว่า จะ เป็น เด็ก <sp> วัยรุ่น <sp> หรือ คน แก่
8,ESUN032-PART002,7,อย่าง ที่ หลาย คน กล่าว ไว้ ว่า <sp> ชีวิต ต้อง อยู่ ด้วย ความหวัง
9,ESUN032-PART002,8,ถ้า ไม่ มี ก็ อยู่ ไม่ ได้
10,ESUN032-PART002,9,เพราะ เรา เกิด มา แค่ หนึ่ง ครั้ง ก็ ย่อม อยาก จะ เป็น ที่ จดจำ ได้ <sp> หรือ ทำ ประโยชน์
11,ESUN032-PART003,0,เรา ควร ลอง ถาม ตัวเอง ดู สิ ว่า <sp> ลักษณะ ของ ความ มุ่งหวัง ใน ปัจจุบัน ของ เรา มัน มา จาก ตัวเรา หรือ จาก คน อื่น
12,ESUN032-PART003,1,หลาย ครั้ง ที่ คนเรา ถูก กดดัน จาก บุคคล รอบ ข้าง ให้ เป็น อย่าง นั้น หรือ อย่าง นี้
13,ESUN032-PART003,2,โดยที่ เรา ไม่ มี ความ มุ่งหวัง ที่ จะ เป็น เช่นนั้น เลย
14,ESUN032-PART003,3,บาง คน ก็ จะ ยอม เป็น ทุกข์ เอง เพื่อ ให้ คน รอบ ข้าง มี ความ สุข
15,ESUN032-PART003,4,แต่ ใน ความเป็นจริง นั้น
16,ESUN032-PART003,5,เรา ควร คำนึง ถึง ใจ เรา ก่อน ว่า เรา ต้องการ อะไร กัน แน่ เพราะ เรา จะ เป็น คน ที่ อยู่ กับ ตัวเรา เอง ไป ตลอด ชีวิต
17,ESUN032-PART003,6,แต่ ก็ ไม่ ใช่ จะ ไม่ สนใจ คน รอบ ข้าง เลย
18,ESUN032-PART003,7,เพราะ มนุษย์ เป็น สัตว์ สังคม
19,ESUN032-PART003,8,การ ได้รับ การ ยอมรับ จาก สังคม ก็ จำเป็น เช่นเดียวกัน
20,ESUN032-PART003,9,ฉะนั้น ไม่ ง่าย เลย ที่ จะ หา จุดมุ่งหมาย ใน ชีวิต ให้ กับ ตนเอง แต่ การ ที่ จะ ทำให้ มัน สำเร็จ ก็ คง จะ ยาก กว่า
21,ESUN032-PART003,10,ทั้งนี้ทั้งนั้น
22,ESUN032-PART003,11,เรา ไม่ ควร ที่ จะ หวัง อะไร ที่ เกินตัว หรือ เกิน ความสามารถ
23,ESUN032-PART003,12,เพราะ อาจ จะ ทำให้ เรา ผิดหวัง ได้
24,ESUN032-PART004,0,เรา ควร ตาม หา จุดมุ่งหมาย ของ เรา ให้ เจอ ก่อน
25,ESUN032-PART004,1,นั่นคือ
26,ESUN032-PART004,2,ปัจจัย แรก ที่ จะ ทำ ให้ ความ มุ่งหวัง เป็น จริง
27,ESUN032-PART004,3,แล้ว ทุก อย่าง ก็ จะ เป็น ไป ตาม ขั้นตอน ของ มัน
28,ESUN032-PART004,4,ยก ตัวอย่าง
29,ESUN032-PART004,5,เช่น
30,ESUN032-PART004,6,เปรียบ จุดมุ่งหมาย คือ การ ขับรถ
31,ESUN032-PART004,7,สิ่ง ที่ เรา พึง มี ก็ คือ
32,ESUN032-PART004,8,ความมั่นใจ ใน ตนเอง เพราะ ถ้าหาก เรา มี แล้ว นั้น
33,ESUN032-PART004,9,ไม่ว่า เรา จะ ทำ อะไร ก็ตาม
34,ESUN032-PART004,10,มัน ก็ จะ ง่าย ขึ้น
35,ESUN032-PART004,11,หาก เรา มัว แต่ ลังเล ว่า จะ เหยียบ คันเร่ง หรือ เบรก ดี
36,ESUN032-PART004,12,จะ ไป ทาง ซ้าย หรือ ทาง ขวา
37,ESUN032-PART004,13,รถ มัน ก็ คง ยัง ไม่ ไป ไหน สัก ที
38,ESUN032-PART004,14,แรง บันดาล ใจ
39,ESUN032-PART004,15,ก็ เปรียบเสมือน น้ำมัน ที่ ทำให้ รถยนต์ ขับเคลื่อน ไป ได้
40,ESUN032-PART004,16,ถึงแม้ว่า ระยะทาง มัน จะ ไกล สัก เพียงใด ขอ แค่ เรา มี ความพยายาม มัน ก็ คง จะ ถึง เส้นชัย เข้า สัก วัน
41,ESUN032-PART004,17,และ ถ้า เป็น ไป ได้
